Judul,Penulis,Pembimbing 1,Pembimbing 2,abstrak,Kata Kunci,Label
APLIKASI CITRA MOSAIK PANORAMIK MENGGUNAKAN METODE WATERSHED,Sri Rahma Puspa Sari,"Eza Rahmanita, S.T.,M.T.","Meidya Koeshardianto, S.Si.,M.T.","Citra digital banyak dimanfaatkan dalam berbagai aspek kehidupan,oleh karena itu membutuhkan tampilan citra yang yang dapat merepresentasikan objek yang terdapat dalam citra tersebut. Salah satu permasalahan yang ada saat melakukan pengambilan gambar (citra) adalah kemampuan untuk mengambil gambar yang sangat luas sehingga gambar harus diambil beberapa kali yang menyebabkan gambar atau objeknya menjadi terpisah-pisah. Untuk mengatasi permasalahan ini diperlukan proses penggabungan citra. Dan dalam penelitian ini akan digunakan metode Watershed. Dalam metode ini terlebih dahulu ditentukan titik korespondensi pada masing-masing citra kandidat, kemudian daerah hasil korespondensi tersebut akan disegmen menggunkan metode Watershed dan hasil segmentasinya digunakan untuk mencari Region cut sebagai acuan penggabungan citra. Proses penggabungan citra ini dsebut dengan mosaic panoramik. Hasil dari penelitian ini menunjukkan citra panorama yang ideal dapat dperoleh dengan menggunakan citra masukan yang mempunyai kesamaan obyek dan titik korespondensi dipilih pada obyek yang sama diantara dua citra masukan tersebut.","Citra Panorama, MosaikPanoramik, Metode watershed",CAI
RANCANG BANGUN APLIKASI INTRUSION PREVENTION SYSTEM PADA JARINGAN BERBASIS PROTOKOL TCP/IP MENGGUNAKAN SNORT DAN IPTABLES,BAHRUL ULUM,"Meidya Koeshardianto, S.Si., M.T","Eza Rahmanita, S.T., M.T","Dalam setiap perusahaan tentunya memiliki data penting berkaitan dengan kegiatan bisnis mereka yang perlu dijaga dan diamankan dari orang yang tidak berhak mengaksesnya. Seringkali  muncul aksi ilegal yang mencoba merusak server bahkan sampai mencuri data perusahaan bisa mengakibatkan kesalahan fatal terhadap kelancaran kegiatan bisnis perusahaan disebabkan data yang tidak valid lagi. Menyikapi masalah tersebut, maka diperlukannya sistem monitoring keamanan yang mampu mengamankan server dari tindakan penyusupan. Intrusion Prevention System (IPS) merupakan solusi yang mampu memberikan keamanan pada jaringan server dari tindakan penyusupan. IPS ini mengembangkan Snort sebagai fungsi pendeteksi yang dikombinasikan dengan IPTables Firewall sebagai pencegah adanya penyusupan. IPS ini juga dilengkapi dengan user interface BASE (Basic Analysis and Security Engine)  dan manajemen rule sehingga memudahkan admin untuk memonitor sistem keamanan dari tindakan penyusupan ke jaringan server. Snort akan membuat alert ketika terdeteksi adanya serangan yang disimpan dalam log Snort dan memerintahkan IPTables untuk melakukan drop terhadap alamat penyerang. Kemudian detail serangan bisa dilihat pada tampilan user interface BASE. Dari hasil pengujian, didapatkan bahwa Snort dan IPTables telah bekerja dengan baik menjadi IPS yang mampu memberikan respon secara cepat ketika terdeteksi adanya serangan. Waktu tanggap rata-rata kurang dari 5 detik, dari awal serangan sampai terdeteksinya alert.",-,CAI
SISTEM PENDUKUNG KEPUTUSAN PENILAIAN KINERJA KARYAWAN MENGGUNAKAN METODE INTREGRATED PERFORMANCE MEASUREMENTS SYSTEMS ( STUDI KASUS: PT. SINAR SOSRO ),Tri Komariyatul Laily,"Fitri Damayanti,S.Kom,M.Kom",-,"Proses penilaian kinerja karyawan sangat penting untuk evaluasi perusahaan agar dapat tercapai tujuan dari perusahaan. Oleh karena itu diperlukan sebuah sistem informasi yang baik untuk mencegah kesalahan – kesalahan dan kecurangan yang dilakukan oleh pihak tertentu, dalam hal ini digunakan Sistem Pendukung Keputusan (SPK). Sistem Pendukung Keputusan (SPK) adalah bagian dari Sistem Informasi berbasis komputer, termasuk sistem berbasis pengetahuan (manajemen pengetahuan) yang dipakai untuk mendukung pengambilan keputusan dalam suatu organisasi atau sebuah perusahaan. Penelitian ini bertujuan untuk membangun sebuah sistem pendukung keputusan yang mempunyai kemampuan analisa penentuan penilaian kinerja karyawan. Analisa penentuan penilaian kinerja karyawan dilakukan secara berkala sesuai dengan ketentuan yang ada. Metode yang digunakan pada sistem ini adalah IPMS (intregrated performance measurements systems).  Sistem ini memanfaatkan teknologi berbasis desktop menggunakan Delphi sebagai aplikasi  pemrograman. Sedangkan pada sisi server menggunakan MySQL sebagai database dengan tool XAMPP. Pada tugas akhir ini, akan dibuatkan aplikasi Sistem Pendukung Keputusan Penilaian Kinerja Karyawan PT. Sinar Sosro.","Sistem Pendukung Keputusan, Delphi, Penilaian,  MySQL, IPMS",RPL
SISTEM INFORMASI PEMESANAN RUMAH BERBASIS WEB PADA PT. PROPINDO WIRA UTAMA,Deka Pranaristanto,"Budi Dwi Satoto S.T, M.Kom",-,Sistem pemesanan atau profil tentang PT. PROPINDO WIRA UTAMA masih tergolong sederhana dalam memperkenalkan Perumahan dari Graha Kamal Permai sehingga dibutuhkan suatu sistem informasi pemesanan yang lebih praktis dalam menangani proses pemesanan yang ada di PT. PROOPINDO WIRA UTAMA,"Sistem Informasi, Web, Sms Gateway",RPL
OPTIMASI PEMILIHAN PORTOFOLIO SAHAM PERUSAHAAN SEKTOR TAMBANG DENGAN MENGGUNAKAN GOAL PROGRAMMING,Siliwangi Fitra Rachmawanto S.T.,"Heri Awalul Ilhamsah S.T., M.T.","Retno Indriartiningtias S.T., M.T.","Portofolio adalah sekumpulan saham yang dimiliki investor. Dalam setiap saham pada portofolio memiliki resiko yang harus diminimalkan dengan cara diversifikasi yaitu dengan mengalokasikan dana pada berbagai alternatif investasi pada kombinasi saham pada portofolio. Pada skripsi ini, saham yang digunakan berupa saham dari perusahan sektor tambang yang terdapat 4 subsektor didalamnya yaitu subsektor Batubara, subsektor batu-batuan, subsektor logam dan mineral lainnya, dan subsektor minyak dan gas bumi. Dari setiap subsektor tersebut terbentuk beberapa portofolio yang kemudian dilakukan optimasi dalam pemilihannya. Pada skripsi ini menggunakan goal programming untuk meminimalkan penyimpangan antara fungsi objektif dengan nilai ideal fungsi objektif yang menghasilkan proporsi dana yang harus diinvestasikan pada masing-masing saham. Hasil yang diperoleh dari goal programming pada setiap subsektor yaitu : subsektor batubara terdapat 4 portofolio efisien, subsektor batu-batuan terdapat 2 portofolio efisien, subsektor logam dan mineral lainnya terdapat 3 portofolio efisien dan subsektor minyak dan gas bumi terdapat 4 portofolio efisien serta proporsi dana yang harus diinvestasikan pada portofolio-portofolio pada setiap subsektor tersebut. Kata Kunci : Goal programming, Portofolio, Expected return, Resiko, Proporsi dana.""",-,RPL
Perancangan Dan Pembuatan Sistem Informasi Manajemen Data Dana Keuangan Di SMA PGRI 2 BANGKALAN Berbasis SMS Gateway,Andika Syarifuddin Parmana Putra,"Sri Herawati,S.Kom",-,"Sistem Informasi Manajemen Data Dana Keuangan Berbasis SMS Gateway adalah suatu sistem sistem informasi yang menyediakan mekanisme untuk menghantar dan menerima SMS dari peralatan mobile (HP, PDA phone, dll). Dalam sistem ini akan dibahas beberapa pokok penting diantaranya, pengolahan data dana keuangan administrasi, pengelolahan dana keuangan BP3, pengelolahan distribusi dana gaji guru/pegawai. Sistem ini akan menggunakan tekhnologi sms gateway yang mana sangat banyak diminati dan digunakan oleh banyak kalangan masyarakat. Selain karena unggul dari segi kepraktisan dan kemudahan dalam penggunaannya, teknologi ini juga hadir dengan tarif yang relatif lebih murah, lebih efisien serta inovatif media pengiriman data pesan atau transfer informasi dalam kapasitas kecil apabila dibandingkan dengan layanan suara. Tujuan dari sistem ini adalah bagaimana memanajemen keuangan dengan baik dan cepat cara penyampaian informasi kepada user/pegawai yang membutuhkan.","Sistem Pengelolaan Data Dana Keuangan,Sistem Informasi",RPL
SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN GRAY LEVEL DIFFERENCE METHOD BERDASARKAN CIRI TEKSTUR PADA POLA BATIK,Nansy Lovitasari,"Fitri Damayanti, S.Kom., M.Kom","Rima Tri Wahyuningrum, S.T., M.T","Batik adalah kerajinan yang memiliki nilai seni tinggi dan telah menjadi bagian dari budaya Indonesia sejak lama. Batik di Indonesia mempunyai beragam jenis tekstur batik, warna batik, dan pola batik yang mencerminkan asal usul daerah dari batik tersebut. Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Difference Method (GLDM) menggunakan empat arah utama. GLDM menghitung perbedaan mutlak antara sepasang derajat keabuan yang terpisah oleh jarak dan arah tertentu. Hasil ekstraksi fitur dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=7 diperoleh akurasi presisi sebesar  61%  pada data pelatihan 168 dan data uji coba 32 dengan 10 citra yang ditampilkan. ",-,RPL
PENGENALAN POLA SENYUMAN BERBASIS EKSTRAKSI FITUR PRINCIPAL COMPONENT ANALYSIS (PCA) DAN LINIER DESCRIMINANT ANALYSIS (LDA),SITI KHOLILAH,"RIMA TRI WAHYUNINGRUM, S.T., M.T","HARYANTO, S.T., M.T","Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Terdapat dua cara untuk menentukan pola senyuman yaitu secara manual dan otomatis. Secara manual dapat dilakukan dengan kasat mata, sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada  Tugas Akhir ini, mengidentifikasi senyuman secara otomatis digunakan metode Principal Component Analysis (PCA) dan Linier Descriminant Analysis (LDA), dimana jenis senyuman pada tugas akhir ini dibagi menjadi lima bagian, yaitu senyum manis, senyum mengejek, senyum yang dipaksakan, senyum tertutup dan senyum terbuka. Penggunaan metode ekstraksi fitur  yang tepat dan efisien  sangat menentukan keberhasilan dari sistem pengenalan pola secara keseluruhan. Untuk metode klasifikasi pengenalan pola menggunakan Euclidean Distance atau Manhattan Distance. Dari hasil uji coba menggunakan 175 gambar data pelatihan didapatkan tingkat akurasi PCA adalah 89.8% pada ordered3. Sedangkan hasil uji coba menggunakan PCA & LDA didapatkan tingkat akurasi 100% pada ordered3.""",-,RPL
USULAN PERBAIKAN UTILITAS RESOURCES PADA LANTAI PRODUKSI PT INDOSPRING TBK DENGAN PENDEKATAN SIMULASI,M Mundir Muhlisin,Mu'alim ST MT,Sugeng Purwoko ST MT,"Simulasi adalah duplikasi atau abstraksi dari persoalan dalam kehidupan nyata ke dalam model matematika. Berdasarkan hasil survey pendahuluan di lantai produksi PT Indospring tbk masih sering terjadi proses produksi yang belum optimal, salah satunya terlihat dari masih adanya jumlah antrian yang cukup tinggi, dan juga target output produksi yang sering belum tercapai. Dengan pendekatan simulasi diharapkan dapat memberikan gambaran permasalahan yang ada pada lantai produksi PT Indospring tbk guna meningkatkan efektifitas dan efisiensi lini produksi dengan cara memperbaiki utilitas pada resources yang ada pada lantai produksi PT Indospring tbk. Berdasarkan hasil pengolahan data didapatkan jumlah antrian tertinggi pada stasiun proses shearing sebesar 610 entity dengan nilai utillitas pada mesin sebesar 88% dan utilitas tenaga kerja sebesar 44%. Setelah usulan perbaikan dilakukan dengan cara menambahkan 1 unit mesin shearing akan berdampak penurunan antrian pada proses shearing dan juga perubahan nilai utilitas pada mesin menjadi 46% dan utilitas tenaga kerja menjadi 46%.""",-,RPL
PENGEMBANGAN MESIN PENCARIAN ANTIPLAGIASI PADA SIM JURNAL MAHASISWA MENGGUNAKAN ALGORITMA WINNOWING FUZZY K-MEANS,ilham wibisono aziz,"Hermawan S.T.,M.Kom","Andharini Dwi Cahyani S.Kom.,M.Kom","Penjiplakan merupakan masalah yang sering muncul dan semakin berkembang terutama dalam bidang pendidikan. Banyak karya tulis yang sebagian bahkan seluruh isinya dibuat dengan menjiplak dari karya tulis orang lain. Untuk mengatasi masalah tersebut, salah satunya solusinya adalah dengan dibuatnya aplikasi yang dapat mengelompokan dokumen dan mendeteksi penjiplakan pada dokumen tersebut. Pada tugas akhir ini dibuat aplikasi yang dapat mendeteksi penjiplakan antar dokumen yaitu dengan membandingkan antar dokumen. Dalam melakukan pendeteksian penjiplakan dokumen digunakan algoritma Winnowing. Algoritma winnowing ini berfungsi untuk melakukan proses dokumen fingerprint, yaitu dengan merubah teks menjadi sekumpulan nilai - nilai hash. Nilai hash ini yang akan digunakan untuk mendeteksi tingkat kesamaan antar dokumen. Dalam hal pengelompokan dokumen dipergunakan algoritma fuzzy k-means. Dari hasil uji coba aplikasi ini dapat diambil kesimpulan bahwa semakin besar nilai n-gram, basis, dan window maka semakin kecil hasil prosentase kemiripan antar dokumen yaitu dengan menghasilkan sebesar 4.17%, dan sebaliknya semakin kecil nilai n-gram, basis, dan window maka semakin besar  prosentase kemiripan antar dokumen yaitu dengan menghasilkan prosentase 98.49%. Pada perhitungan nilai f-measure dipengaruhi oleh keakuratan data yang diproses.","deteksi penjiplakan, cluster, f-measur",RPL
PERUMUSAN STRATEGI BISNIS UD. BUDI JAYA BANGKALAN ?DENGAN PENDEKATAN MODEL FRED R. DAVID,Yulianto Fauzanta,"Fitri Agustina, S.T., M.T","Retno Indriartiningtias, S.T., M.T","Bangkalan merupakan salah satu kabupaten yang memiliki potensi alam salak. ?Potensi alam tersebut dimanfaatkan oleh UD. Budi Jaya yang terletak di Desa ?Kramat? Bangkalan dengan memproduksi produk olahan salak. Selama ini UD ?Budi Jaya menemui banyak kendala, diantaranya adalah mengenai pemasaran, ?produksi bahan baku, dan lain-lain. salah satu solusi kendala tersebut adalah ?dengan merancang strategi bisnis yang sesuai dengan kondisi UD Budi Jaya. ?Model strategi Fred R. David mempunyai tiga tahap yaitu tahap masukan, ?pencocokan dan pengambilan keputusan. Matriks-matriks yang digunakan pada ?penelitian ini adalah IFE (Internal Factor Evaluation), EFE (External Factor ?Evaluation), SWOT, IE (Internal-External) Matrix, GRAND STRATEGY Matrix ?dan QSPM (Quantitative Strategic Planning Matrix). Hasil penelitian ini adalah ?beberapa alternatif strategi diantaranya adalah Strategi 5 (S5) yaitu menciptakan ?produk olahan baru (diversikasi), Strategi 3 (S3) pengiklanan, Strategi 2 (S2) ?Pengembangan produk yaitu meningkatkan kualitas produk, Strategi 7 (S7) ?Melakukan kesepakatan harga dengan anggota kelompok tani yang lain, dan ?strategi 1 (S1) Memperluas pasar.?""",-,RPL
PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN MEDOTE SYSTEMATIC LAYOUT PLANNING (SLP) DAN ALGORITMA GENETIK,AHMAD MAS'UD,"SABARUDIN AKHMAD, S.T., M.T.","SUGENG PURWOKO, S.T., M.T.","PT. ABC merupakan perusahaan yang bergerak dibidang manufaktur kayu yaitu memproduksi meja, kursi dan lain-lain. Terdapat berbagai jenis mesin yang berada dalam lantai produksi PT. ABC untuk menunjang jalannya proses produksi, diantaranya yaitu : planner, ripsaw, sanding, dan mesin lainnya. Saat ini PT. ABC memiliki permasalahan dengan tataletak fasilitas, hal tersebut terlihat pada jarak perpindahan bahan dari stasiun kerja satu menuju stasiun kerja yang lainnya yang terlalu jauh. Tujuan penelitian ini adalah merancang alternatif layout yang bisa meminimalkan total momen perpindahan bahan dengan menggunakan metode SLP (Systematic Layout Planning) dan Algoritma Genetik. Setelah pengumpulan dan pengolahan data didapatkan hasil perhitungan tataletak awal lantai produksi perusahaan memberikan total momen sebesar 207.203 meter perpindahan per bulan. Metode SLP memberikan total momen sebesar 152.506 meter perpindahan per bulan, sedangkan dengan algoritma genetik diperoleh total momen sebesar 197.974 meter perpindahan per bulan.""",-,RPL
SISTEM PERAMALAN PENJUALAN JANGKA PENDEK SPARE PART SEPEDA MOTOR MENGGUNAKAN NEURAL NETWORK (Studi Kasus : Suzuki Kemayoran Bangkalan),Ana Qaimah L.M.D.R,"Mula’ab, S.Si, M.Kom","Fika Hastarita R.,ST, M.Eng","Spare part merupakan salah satu bagian penting dalam pengoperasian mesin pada sepeda motor. Peningkatan jumlah penjualan spare part yang tidak terduga saat proses tune-up menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan spare part, maka akan menyebabkan penumpukan spare part di gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan spare part pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan algoritma Propagasi Balik dengan momentum untuk meramalkan jumlah penjualan spare part  pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa  dengan menggunakan semua data sebagai data training dan menggunakan learning rate 3.5 dan dengan epoh 200 akan menghasilkan tingkat kesalahan 0.0622716.""",-,RPL
SISTEM INFORMASI KOPERASI SMPN 1 WONOAYU,Rostantia Yuas Pratama,"Riza Alfita,ST, MT",-,"SMP Negeri 1 Wonoayu merupakan sekolah negeri favorit yng berada di kabupaten Sidoarjo. Salah satu organisasi yang ada di sekolah tersebut adalah koperasi. Kegiatan yang ada dikoperasi tersebut meliputi simpan pinjam anggota serta penjualan barang. Setiap tahun koperasi sekolah ini semakin berkembang, namun sistem yang ada kurang mampu berkembang mengikuti perkembangan yang ada. Pada koperasi ini sistem yang diterapkan masih bersifat manual. Sehingga manajemen datanya kurang terkontrol dan terperinci. Untuk mengatasi permasalahan yang ada diperlukan sebuah sistem informasi yang mampu mengolah manajemen data baik simpan pinjam anggota maupun data barang yang ada di koperasi. Dalam perancangan sistem informasi ini digunakan beberapa tahap yaitu tahap identifikasi dan penelitian awal, tahap pengumpulan data, tahap  pengolahan data serta tahap analisa dan kesimpulan. Hasil penelitian ini menghasilkan beberapa output yaitu Data Keluar Masuk Barang, Data Persediaan Barang, Data Penjualan,  Data Simpan Pinjam, serta Laporan Keuangan.","Sistem Informasi, Koperasi, Simpan Pinjam",RPL
ONTOLOGY SEMANTIC WEB UNTUK PENCARIAN TUGAS AKHIR PADA SISTEM INFORMASI TUGAS AKHIR(SIMTAK),Daniyar Bagus Prasetya,"Firdaus Solihin S.kom,.M.kom","Kurniawan Eka P. S.kom,.M.sc","Kebutuhan pencarian data pada internet yang cepat dan tepat saat ini menjadi faktor penting para pengguna layanan internet. Sistem Informasi Tugas Akhir (SIMTAK) yang digunakan di Fakultas Teknik Universitas Trunojoyo Madura juga membutuhkan pencarian data yang tepat dan cepat berdasarkan konteks. Sistem pencarian yang dipakai saat ini adalah pencarian database dimana masih belum mampu memberikan hasil pencarian yang sesuai dengan konteks atau keywords yang diinputkan. Untuk memiliki kebenaran dalam sistem kecerdasan, pengetahuan perlu ditangkap, diproses, digunakan kembali, dan disampaikan. Ontologi mendukung semua tugas ini. Ontologi adalah spesifikasi dari konseptualisasi. Semantik web adalah sebuah abstrak representasi pada World Wide Web (WWW) yang berbasiskan pada sebuah standar yang didefinisikan menggunakan Resource Description Framework (RDF) dan Ontology Web Language (OWL) ide dasarnya adalah untuk membawa web memiliki definisi dan link data sehingga dapat digunakan lebih efektif untuk mencari, otomasi, integrasi dan reuse informasi pada berbagai aplikasi. Semantik web didefinisikan sebagai sekumpulan teknologi, dimana memungkinkan komputer memahami arti dari sebuah informasi berdasarkan metadata, yaitu informasi mengenai isi informasi seperti judul, pengarang, modifikasi tanggal pada halaman web, dan hak cipta pada halaman web. Dengan menggunakan semantik web, pencarian tugas akhir ini mampu memberikan hasil berdasarkan persamaan makna kata pada keyword yang diinputkan oleh user.","Mesin pencari, Semantic web, Tugas akhir",RPL
Rancang Bangun Bangun Media Pembelajaran Budidaya Itik Dan Pemilihan Lahan Kandang Itik Petelur Berbasis Web,Andika Putra Prasetya,Haryanto S.T.M.T,-,"Sistem media pembelajaran dengan berbagai macam kelebihannya saat ini  telah membuka cakrawala baru dalam proses belajar baik secara formal atau informal dan merupakan cara alternatif yang cocok diterapkan dalam rangka pemahaman terhadap suatu materi dalam menunjang kualitas pembelajaran bagi penggunanya. Dikarenakan di dalam sistem ini pengguna bisa melakukan pembelajaran dimana saja sehingga lebih efisien dan efektif asalkan terhubung dengan internet. Pengguna bisa melihat referensi sesuai yang di tampilkan oleh system sekaligus mencoba fasilitas pemilihan lahan kandang yang disediakan. Dan sistem ini yang dikembangkan hanya mencakup tentang pembudidayaan itik dan pemilihan kandang yang cocok berbasis web. Sistem ini cocok bagi para pengguna yang memiliki keterbatasan waktu dan tempat dalam melakukan pembelajaran tentang budidaya itik pada khususnya dan diperuntukkan untuk umum. Dengan model pembelajaran seperti ini, para pengguna diharapkan dapat menambah pengetahuan baik dibidang peternakan ataupun yang lainnya dikarenakan model pembelajaran diatas lebih interaktif dan dinamis. ","media pembelajaran, budidaya itik, pemilihan lahan kandang, itik petelur",RPL
SISTEM INFORMASI PEMENUHAN GIZI IBU HAMIL BERBASIS WEB PADA RSUD SYARIFAH AMBAMI RATO EBUH BANGKALAN,VENI WIJAYANTI,"FITRI DAMAYANTI ,S.Kom,M.Kom",-,"Status gizi ibu sebelum dan selama hamil dapat mempengaruhi pertumbuhan janin  yang sedang dikandung.  Bila status gizi ibu normal pada masa sebelum dan selama hamil kemungkinan besar akan melahirkan   bayi yang sehat, cukup bulan dengan berat badan normal.   Dengan kata lain kualitas bayi yang dilahirkan sangat tergantung pada keadaan gizi ibu sebelum dan selama hamil. Kehamilan menyebabkan meningkatnya metabolisme energi, karena itu kebutuhan energi dan zat gizi  lainnya meningkat selama kehamilan.   Peningkatan energi dan zat gizi tersebut diperlukan untuk pertumbuhan  dan perkembangan janin, pertambahan besarnya organ kandungan, perubahan komposisi dan metabolisme tubuh  ibu.   Sehingga kekurangan zat gizi tertentu yang diperlukan saat hamil dapat menyebabkan janin tumbuh tidak sempurna. Untuk itu penulis merancang aplikasi Informasi pemenuhan Gizi ibi Hamil yang berbasis web yang  bisa  diakses  setiap  saat  untuk pengembangan RSUD Syarifah Ambami Rato Ebuh  Bangkalan khususnya dan masyarakat pada umumnya.","Sistem Informasi,  Gizi Ibu Hamil dan Bayi",RPL
PSB ONLINE UNTUK SMA NEGERI DI KOTA BANGKALAN MENGGUNAKAN METODE SAW (SIMPLE ADDITIVE WEIGHTING),HARRYS SUDEWO,EKA MALA SARI ROCHMAN S.KOM,-,"Penerimaan Siswa Baru (PSB) merupakan suatu proses administrasi yang terjadi setiap tahun untuk seleksi calon siswa berdasarkan nilai akademik agar dapat melanjutkan pendidikan pada jenjang yang lebih tinggi. Oleh karena itu, maka tugas akhir ini akan membangun sistem informasi penerimaan siswa baru online. Dalam pembangunan sistem informasi ini, akan digunakan model Fuzzy Multi Attribute Descission Making (FMADM) dengan metode Simple Additive Weighting  (SAW). Konsep dasar  metode SAW adalah  mencari penjumlahan terbobot dari rating kinerja pada setiap alternatif calon siswa pada semua kriterianya. Metode SAW membutuhkan proses normalisasi matriks keputusan ke suatu skala yang dapat diperbandingkan dengan semua rating alternatif yang ada. Sehingga hasil yang didapatkan adalah siswa yang mempunyai total nilai kriteria yang besar berada di peringkat atas daripada siswa yang mempunyai total nilai kriteria yang kecil","PSB  Online, FMADM, Metode SAW",CAI
PERANCANGAN DAN IMPLEMENTASI SISTEM DATABASE TERDISTRIBUSI MENGGUNAKAN ORACLE STUDI KASUS SIAKAD UNIVERSITAS TRUNOJOYO,A.Ubaidillah S.Kom,Budi Setyono M.T,Hermawan S.T,"Sistem  informasi  akademik  (SIAKAD) merupakan  sistem  informasi  yang  berfungsi  menangani pengelolaan  dan  penyajian  data-data  akademik,  yang  oleh pihak  fakultas  SIAKAD  dianggap  sangat  penting  dalam memberikan  pelayanan  mahasiswa  yang  membutuhkan informasi akademik. Di Universitas Trunojoyo telah tersedia SIAKAD,  namun  masih  menggunakan  database  terpusat. Sistem seperti ini memberikan kelebihan yaitu perawatannya mudah  selain  itu  juga  membutuhkan  sedikit  biaya,  namun sistem  tersebut  juga  berpotensi  mengahadapi  kendala-kendala  yaitu  dalam  proses  transaksi  data  karena  padatnya jaringan yang menuju database SIAKAD, kelambatan dalam pemrosesan  respon  query  dikarenakan  data  yang  tersimpan semakin besar dan pemrosesan semakin kompleks, dan  juga memiliki kelemahan dalam hal ketersediaan data. Untuk  itu sistem  seperti  ini  memerlukan  pengembangan  sistem database  yang  lebih  baik  dengan  menggunakan  sistem databases  terdistribusi  pada  masing-masing  fakultas  yang dapat  dijadikan  solusi  bagi  permasalahan  di  atas.  Karena dalam basisdata terdistribusi terdapat keuntungan yang tidak dimiliki oleh basisdata  terpusat yaitu pengawasan distribusi, reability,  availability,  kecepatan  dalam  pemrosesan  query dan otonomi local""",-,RPL
APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,"Robiatul Adawiyah, S.Kom","Diana Rahmawati, S.T, M.T","Budi Dwi Satoto, S.T, M.Kom","Perusahaan pemerintah maupun swasta mempunyai tujuan yang harus dicapai. Pencapaian tujuan perusahaan dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal, salah satu sumber daya tersebut adalah sumber daya manusia yang dimiliki oleh perusahaan. Sesuai dengan peraturan yang telah ditetapkan PT. Surya Madistrindo Pamekasan dalam melakukan proses promosi jabatan, maka diperlukan kriteria-kriteria seperti aspek kapasitas intelektual, aspek sikap kerja, dan aspek perilaku yang masing-masing mempunyai sub kriteria tersendiri. Metode yang digunakan adalah metode Fuzzy Analytic Network Process (FANP). Metode FANP sendiri digunakan untuk mencari bobot prioritas kepentingan dari seluruh kriteria dan sub kriteria yang telah ditetapkan dan sebagai proses perangkingan atas bobot kriteria masing-masing data karyawan. Pembobotan diperoleh dari hasil kuesioner yang dilakukan oleh pimpinan perusahaan. Proses perangkingan dilakukan dengan cara mengalikan nilai bobot dari kriteria ke tiap-tiap sub kriteria sehingga mampu menyeleksi karyawan yang berhak menduduki jabatan yang tersedia berdasarkan kriteria-kriteria yang ditentukan. Dari hasil uji coba dalam menyelesaikan studi kasus proses promosi jabatan karyawan menghasilkan nilai akurasi sebesar 80%.","Sistem Pendukung Keputusan, Promosi Jabatan,  Fuzzy Analytic Network Process (FANP)",RPL
